Title,Authors,Publication Name,Publication Year,DOI,Link
Minimizing the number of late jobs and total late work with step-learning,Phosavanh J.,European Journal of Operational Research,2025-03-16,10.1016/j.ejor.2024.09.042,https://api.elsevier.com/content/abstract/scopus_id/85206335046
Scheduling multi-skill technicians and reassignable tasks in a cloud computing company,Jin S.,European Journal of Operational Research,2025-03-16,10.1016/j.ejor.2024.09.050,https://api.elsevier.com/content/abstract/scopus_id/85206073102
Skill development in the field of scheduling: A structured literature review,Heuser P.,European Journal of Operational Research,2025-03-16,10.1016/j.ejor.2024.04.005,https://api.elsevier.com/content/abstract/scopus_id/85191289947
Dual-emission Si dots-based sensing array for identification of metal ions,Mao G.,Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy,2025-03-15,10.1016/j.saa.2024.125500,https://api.elsevier.com/content/abstract/scopus_id/85210299532
From comparison to integration: Enhancing forward osmosis performance prediction with mathematical and RBF neural network models,Nurhayati M.,Desalination,2025-03-15,10.1016/j.desal.2024.118322,https://api.elsevier.com/content/abstract/scopus_id/85210061807
Multi-level eco-friendly heat recovery process integrated into a gas turbine cycle of an innovative CCHP-desalination system: Assessment and optimization of the thermo-economic-environmental aspects,Sui L.,Desalination,2025-03-15,10.1016/j.desal.2024.118323,https://api.elsevier.com/content/abstract/scopus_id/85210053610
Further development of offshore floating solar and its design requirements,Emami A.,Marine Structures,2025-03-15,10.1016/j.marstruc.2024.103730,https://api.elsevier.com/content/abstract/scopus_id/85209886926
Change point detection in temporal networks based on graph snapshot similarity measures,Huang X.,Applied Mathematics and Computation,2025-03-15,10.1016/j.amc.2024.129165,https://api.elsevier.com/content/abstract/scopus_id/85208376948
A robotic fish processing line enhanced by machine learning,Mainali S.,Aquacultural Engineering,2025-03-15,10.1016/j.aquaeng.2024.102481,https://api.elsevier.com/content/abstract/scopus_id/85208193502
A finite difference method with symmetry properties for the high-dimensional Bratu equation,Shahab M.L.,Applied Mathematics and Computation,2025-03-15,10.1016/j.amc.2024.129136,https://api.elsevier.com/content/abstract/scopus_id/85207692103
Self representation based methods for tensor completion problem,Aghamohammadi F.,Journal of Computational and Applied Mathematics,2025-03-15,10.1016/j.cam.2024.116297,https://api.elsevier.com/content/abstract/scopus_id/85206453785
On the causality-preservation capabilities of generative modelling,Bauwelinckx Y.C.,Journal of Computational and Applied Mathematics,2025-03-15,10.1016/j.cam.2024.116312,https://api.elsevier.com/content/abstract/scopus_id/85206446176
Population-based algorithm for discrete facility location with ranking of candidate locations,Lančinskas A.,Journal of Computational and Applied Mathematics,2025-03-15,10.1016/j.cam.2024.116304,https://api.elsevier.com/content/abstract/scopus_id/85205821681
Coordinate-update algorithms can efficiently detect infeasible optimization problems,Paeng J.,Journal of Mathematical Analysis and Applications,2025-03-15,10.1016/j.jmaa.2024.128925,https://api.elsevier.com/content/abstract/scopus_id/85205729361
Convergence analysis of a primal–dual optimization-by-continuation algorithm,Loris I.,Journal of Computational and Applied Mathematics,2025-03-15,10.1016/j.cam.2024.116299,https://api.elsevier.com/content/abstract/scopus_id/85205466065
Fuzzy robust regression based on exponential-type kernel functions,Kong L.,Journal of Computational and Applied Mathematics,2025-03-15,10.1016/j.cam.2024.116295,https://api.elsevier.com/content/abstract/scopus_id/85205315434
Poisson noise removal based on non-convex hybrid regularizers,Yu X.,Journal of Computational and Applied Mathematics,2025-03-15,10.1016/j.cam.2024.116289,https://api.elsevier.com/content/abstract/scopus_id/85205018912
Generalized Multiscale Finite Element Method for discrete network (graph) models,Vasilyeva M.,Journal of Computational and Applied Mathematics,2025-03-15,10.1016/j.cam.2024.116275,https://api.elsevier.com/content/abstract/scopus_id/85203870893
Distributed Ishikawa algorithms for seeking the fixed points of multi-agent global operators over time-varying communication graphs,Liu X.,Journal of Computational and Applied Mathematics,2025-03-15,10.1016/j.cam.2024.116250,https://api.elsevier.com/content/abstract/scopus_id/85202975744
A Comparative Study of LSTM and Temporal Convolutional Network Models for Semisubmersible Platform Wave Runup Prediction,Li Y.,Journal of Offshore Mechanics and Arctic Engineering,2025-03-11,10.1115/1.4063266,https://api.elsevier.com/content/abstract/scopus_id/85187499239
A new hybrid swarm intelligence-based maximum power point tracking technique for solar photovoltaic systems under varying irradiations,Mishra V.L.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125786,https://api.elsevier.com/content/abstract/scopus_id/85210315933
"Mixed data augmentation and osprey search strategy for enhancing YOLO in tomato disease, pest, and weed detection",Lin J.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125737,https://api.elsevier.com/content/abstract/scopus_id/85210301104
NG-RED:Nonconvex group-matrix residual denoising learning for image restoration,Li Y.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125876,https://api.elsevier.com/content/abstract/scopus_id/85210296420
Adaptive critical subgraph mining for cognitive impairment conversion prediction with T1-MRI-based brain network,Leng Y.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125809,https://api.elsevier.com/content/abstract/scopus_id/85210289864
Machine learning-driven prediction of tensile strength in 3D-printed PLA parts,Nikzad M.H.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125836,https://api.elsevier.com/content/abstract/scopus_id/85210287975
Enhancing 3D video watching experiences: Tackling compression and 3D warping distortions in synthesized view with perceptual guidance,Zhang H.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125853,https://api.elsevier.com/content/abstract/scopus_id/85210286571
Language of actions: A generative model for activity recognition and next move prediction from motion sensors,Oğul H.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125947,https://api.elsevier.com/content/abstract/scopus_id/85210284866
Combined data augmentation framework for generalizing deep reinforcement learning from pixels,Xiong X.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125810,https://api.elsevier.com/content/abstract/scopus_id/85210278451
TCMT: Target-oriented Cross Modal Transformer for Multimodal Aspect-Based Sentiment Analysis,Zou W.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125818,https://api.elsevier.com/content/abstract/scopus_id/85210275165
LLM-TSFD: An industrial time series human-in-the-loop fault diagnosis method based on a large language model,Zhang Q.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125861,https://api.elsevier.com/content/abstract/scopus_id/85210274373
Prediction of peak strength under triaxial compression for sandstone based on ABC-SVM algorithm,Lin Y.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125923,https://api.elsevier.com/content/abstract/scopus_id/85210272505
Population-based evolutionary search for joint hyperparameter and architecture optimization in brain-computer interface,Shin D.H.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125832,https://api.elsevier.com/content/abstract/scopus_id/85210142026
Integrating contrastive learning and adversarial learning on graph denoising encoder for recommendation,Zhou W.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125812,https://api.elsevier.com/content/abstract/scopus_id/85210140051
Multi-objective optimization approach for permanent magnet machine via improved soft actor–critic based on deep reinforcement learning,Wang C.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125834,https://api.elsevier.com/content/abstract/scopus_id/85210138618
A prospect theory-driven three-way decision framework: Integrating prior probability tolerance and dominance relations in fuzzy incomplete information systems,Zhang X.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125833,https://api.elsevier.com/content/abstract/scopus_id/85210134002
Making transformer hear better: Adaptive feature enhancement based multi-level supervised acoustic signal fault diagnosis,Wang S.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125736,https://api.elsevier.com/content/abstract/scopus_id/85210130054
Towards bias-aware visual question answering: Rectifying and mitigating comprehension biases,Chen C.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125817,https://api.elsevier.com/content/abstract/scopus_id/85210129853
Image progressive steganography based on multi-frequency fusion deep network with dynamic sensing,Li M.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125829,https://api.elsevier.com/content/abstract/scopus_id/85210128412
Enhanced multi-label feature selection considering label-specific relevant information,Han Q.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125819,https://api.elsevier.com/content/abstract/scopus_id/85210127170
Spectral information guidance network for tampering localization of high-resolution satellite map,Ding X.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125825,https://api.elsevier.com/content/abstract/scopus_id/85210126131
Towards optimal control of HPV model using safe reinforcement learning with actor–critic neural networks,Amirabadi R.K.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125783,https://api.elsevier.com/content/abstract/scopus_id/85210125687
TBAuth: A continuous authentication framework based on tap behavior for smartphones,Chen Y.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125811,https://api.elsevier.com/content/abstract/scopus_id/85210125065
DTI-MPFM: A multi-perspective fusion model for predicting potential drug–target interactions,He C.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125740,https://api.elsevier.com/content/abstract/scopus_id/85210123875
Multi-Context enhanced Lane-Changing prediction using a heterogeneous Graph Neural Network,Dong Y.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125902,https://api.elsevier.com/content/abstract/scopus_id/85210122528
FITE-GAT: Enhancing aspect-level sentiment classification with FT-RoBERTa induced trees and graph attention network,Fan M.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125890,https://api.elsevier.com/content/abstract/scopus_id/85210120494
Enhancing origin–destination flow prediction via bi-directional spatio-temporal inference and interconnected feature evolution,Yu P.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125679,https://api.elsevier.com/content/abstract/scopus_id/85210120190
Hiding secret messages in large-scale graphs,Lee D.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125777,https://api.elsevier.com/content/abstract/scopus_id/85210120070
GAN-based synthetic time-series data generation for improving prediction of demand for electric vehicles,Chatterjee S.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125838,https://api.elsevier.com/content/abstract/scopus_id/85210119605
Assessing the invertibility of deep biometric representations: Investigating CNN hyperparameters for enhanced security against adversarial attacks,Grazian C.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125848,https://api.elsevier.com/content/abstract/scopus_id/85210118325
Uniformity and deformation: A benchmark for multi-fish real-time tracking in the farming,Huang J.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125653,https://api.elsevier.com/content/abstract/scopus_id/85210117353
Interpretation of Myers–Briggs Type Indicator personality profiles based on ambivert continuum scale,Butt S.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125689,https://api.elsevier.com/content/abstract/scopus_id/85210115832
Deep hashing with mutual information: A comprehensive strategy for image retrieval,Chen Y.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125880,https://api.elsevier.com/content/abstract/scopus_id/85210114997
Variational spatial–temporal graph attention network for state monitoring and forecasting,Fang Y.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125718,https://api.elsevier.com/content/abstract/scopus_id/85210114282
Evolutionary game and LGPSO for attack-defense confrontation analysis in WSN from macro perspective,Liu N.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125815,https://api.elsevier.com/content/abstract/scopus_id/85210100506
Multi-Scale Convolutional Neural Networks optimized by elite strategy dung beetle optimization algorithm for encrypted traffic classification,Peng Q.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125729,https://api.elsevier.com/content/abstract/scopus_id/85210088962
Self-supervised hate speech detection in Norwegian texts with lexical and semantic augmentations,Hashmi E.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125843,https://api.elsevier.com/content/abstract/scopus_id/85210076395
A novel infrared and visible image fusion network based on cross-modality reinforcement and multi-attention fusion strategy,Qi B.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125682,https://api.elsevier.com/content/abstract/scopus_id/85210075776
Random transformations to improve mitigation of query-based black-box attacks,Ali Z.T.M.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125840,https://api.elsevier.com/content/abstract/scopus_id/85210073901
An explainable graph-based course recommendation model based on multiple interest factors,Yang Y.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125889,https://api.elsevier.com/content/abstract/scopus_id/85210070695
Improved stochastic configuration network ensemble methods for time-series forecasting,Xu Z.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125789,https://api.elsevier.com/content/abstract/scopus_id/85210066434
Classification of sewer pipe defects based on an automatically designed convolutional neural network,Wang Y.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125806,https://api.elsevier.com/content/abstract/scopus_id/85210052215
Wastewater treatment monitoring: Fault detection in sensors using transductive learning and improved reinforcement learning,Yang J.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125805,https://api.elsevier.com/content/abstract/scopus_id/85210043213
On the feasibility of an ensemble multi-fidelity neural network for fast data assimilation for subsurface flow in porous media,Wang Y.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125774,https://api.elsevier.com/content/abstract/scopus_id/85210031993
Knowledge guided fuzzy deep reinforcement learning,Qin P.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125823,https://api.elsevier.com/content/abstract/scopus_id/85210027418
Bayesian-optimized deep learning model for real-time spatial distribution identification of vehicle axle load,Xu B.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125872,https://api.elsevier.com/content/abstract/scopus_id/85210000832
"Maximizing failure occurrence in water distribution Systems: A Multi-Objective approach considering Reliability, Economic, and environmental aspects",Abdolazimi O.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125910,https://api.elsevier.com/content/abstract/scopus_id/85209998827
Deep multi-negative supervised hashing for large-scale image retrieval,Liu Y.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125795,https://api.elsevier.com/content/abstract/scopus_id/85209992611
Scalable order dispatching through Federated Multi-Agent Deep Reinforcement Learning,Jing Y.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125792,https://api.elsevier.com/content/abstract/scopus_id/85209925285
Adaptive and soft constrained vision-map vehicle localization using Gaussian processes and instance segmentation,Barbosa B.H.G.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125790,https://api.elsevier.com/content/abstract/scopus_id/85209919011
Machine-agnostic automated lumbar MRI segmentation using a cascaded model based on generative neurons,Basak P.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125862,https://api.elsevier.com/content/abstract/scopus_id/85209894702
Topological organization for hybrid rice growth stages Phenotype based on Contrastive clustering,Feng H.,Expert Systems with Applications,2025-03-10,10.1016/j.eswa.2024.125859,https://api.elsevier.com/content/abstract/scopus_id/85209874716
Identification and validation of characterized gene NFE2L2 for ferroptosis in ischemic stroke,Mi W.,Chinese Journal of Tissue Engineering Research,2025-03-08,10.12307/2025.027,https://api.elsevier.com/content/abstract/scopus_id/85202965863
Identification and drug sensitivity analysis of key molecular markers in mesenchymal cell-derived osteosarcoma,Haojun Z.,Chinese Journal of Tissue Engineering Research,2025-03-08,10.12307/2025.009,https://api.elsevier.com/content/abstract/scopus_id/85202953011
Research hotspots and frontiers of stem cells for Alzheimer’s disease,Liugang X.,Chinese Journal of Tissue Engineering Research,2025-03-08,10.12307/2025.026,https://api.elsevier.com/content/abstract/scopus_id/85202931825
Substituted thiourea incorporated rhodamine-based chemosensors for selective detection of aluminium ions,Sahoo S.S.,Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy,2025-03-05,10.1016/j.saa.2024.125494,https://api.elsevier.com/content/abstract/scopus_id/85210310570
Cinnamaldehyde-based hydrazone schiff bases as inhibitors of pepsin and trypsin: A comparative study,Vashisth C.,Journal of Molecular Structure,2025-03-05,10.1016/j.molstruc.2024.140845,https://api.elsevier.com/content/abstract/scopus_id/85210293099
Replicating the performance of a portfolio of stocks using minimum dominating set,Biswas S.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125797,https://api.elsevier.com/content/abstract/scopus_id/85209941333
Hyper real-time flame detection: Dynamic insights from event cameras and FlaDE dataset,Ding S.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125746,https://api.elsevier.com/content/abstract/scopus_id/85209924533
STRM-KD: Semantic topological relation matching knowledge distillation model for smart agriculture apple leaf disease recognition,Li D.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125824,https://api.elsevier.com/content/abstract/scopus_id/85209917855
Diversified generation of commonsense reasoning questions,Yu J.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125776,https://api.elsevier.com/content/abstract/scopus_id/85209892429
LDN-SNP: SNP-based lightweight deep network for CT image segmentation of COVID-19,Fu J.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125793,https://api.elsevier.com/content/abstract/scopus_id/85209887509
Lightweight image super-resolution network based on dynamic graph message passing and convolution mixer,Gendy G.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125683,https://api.elsevier.com/content/abstract/scopus_id/85209770622
Remaining useful life prediction for machinery using multimodal interactive attention spatial–temporal networks with deep ensembles,Zhou Y.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125808,https://api.elsevier.com/content/abstract/scopus_id/85209763126
Multi-object garbage image detection algorithm based on SP-SSD,Tan L.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125773,https://api.elsevier.com/content/abstract/scopus_id/85209753014
A novel data-driven rolling horizon production planning approach for the plastic industry under the uncertainty of demand and recycling rate,Larizadeh R.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125728,https://api.elsevier.com/content/abstract/scopus_id/85209744589
Research on litchi image detection in orchard using UAV based on improved YOLOv5,Peng H.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125828,https://api.elsevier.com/content/abstract/scopus_id/85209726824
MOHGCN: A trustworthy multi-omics data integration framework based on specificity-aware heterogeneous graph convolutional neural networks for disease diagnosis,Wu W.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125772,https://api.elsevier.com/content/abstract/scopus_id/85209707784
Multi-order attributes information fusion via hypergraph matching for popular fashion compatibility analysis,Sun K.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125758,https://api.elsevier.com/content/abstract/scopus_id/85209692551
Differentially private graph neural networks for graph classification and its adaptive optimization,Li Y.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125798,https://api.elsevier.com/content/abstract/scopus_id/85209681119
Dynamic multiobjective optimization via an improved r-dominance relation and a novel prediction approach,Hu Y.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125765,https://api.elsevier.com/content/abstract/scopus_id/85209679332
Discrimination of wheat gluten quality utilizing terahertz time-domain spectroscopy (THz-TDS),Peng S.,Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy,2025-03-05,10.1016/j.saa.2024.125452,https://api.elsevier.com/content/abstract/scopus_id/85209665380
Spectral clustering and query expansion using embeddings on the graph-based extension of the set-based information retrieval model,Kalogeropoulos N.R.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125771,https://api.elsevier.com/content/abstract/scopus_id/85209656735
Adaptive gravitational clustering algorithm integrated with noise detection,Yang J.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125733,https://api.elsevier.com/content/abstract/scopus_id/85209645933
Vision-based human action quality assessment: A systematic review,Liu J.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125642,https://api.elsevier.com/content/abstract/scopus_id/85209644513
Category-integrated Dual-Task Graph Neural Networks for session-based recommendation,Ding Y.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125784,https://api.elsevier.com/content/abstract/scopus_id/85209625728
LRCN: Layer-residual Co-Attention Networks for visual question answering,Han D.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125658,https://api.elsevier.com/content/abstract/scopus_id/85209593689
MDDU-Net: A multi-scale dense connectivity hybrid dilated convolutional U-Net for segmentation in prostate ultrasound images,Wang L.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125743,https://api.elsevier.com/content/abstract/scopus_id/85209584769
A real-time energy and cost efficient vehicle route assignment neural recommender system,Moawad A.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125634,https://api.elsevier.com/content/abstract/scopus_id/85209569235
Mitigating reasoning hallucination through Multi-agent Collaborative Filtering,Shi J.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125723,https://api.elsevier.com/content/abstract/scopus_id/85209558144
UV/visible absorption maxima prediction of water-soluble organic compounds and generation of library of new organic compounds,Farrukh A.,Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy,2025-03-05,10.1016/j.saa.2024.125453,https://api.elsevier.com/content/abstract/scopus_id/85209556968
A model-based infrared and visible image fusion network with cooperative optimization,Hu T.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125639,https://api.elsevier.com/content/abstract/scopus_id/85209542098
VIS-NIR hyperspectral imaging and multivariate analysis for direct characterization of pelagic fish species,Sanhueza M.I.,Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy,2025-03-05,10.1016/j.saa.2024.125451,https://api.elsevier.com/content/abstract/scopus_id/85209541140
Multi-level discrimination index for intuitionistic fuzzy coverings and its applications in feature selection,Jia Z.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125735,https://api.elsevier.com/content/abstract/scopus_id/85209407538
Extracting semantic link network of words from text for semantics-based applications,Li J.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125768,https://api.elsevier.com/content/abstract/scopus_id/85209406483
Consistent positive correlation sample distribution: Alleviating the negative sample noise issue in contrastive adaptation,Wei X.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125669,https://api.elsevier.com/content/abstract/scopus_id/85209400719
Diff-TST: Diffusion model for one-shot text-image style transfer,Pang S.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125747,https://api.elsevier.com/content/abstract/scopus_id/85209396293
Web service framework to identify multiple pollutions in potential contaminated sites,Lu X.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125800,https://api.elsevier.com/content/abstract/scopus_id/85209388353
An innovative data-driven AI approach for detecting and isolating faults in gas turbines at power plants,Amiri M.H.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125497,https://api.elsevier.com/content/abstract/scopus_id/85209386632
Enhancing structural knowledge in code smell identification: A fusion learning framework combining AST-based metrics with semantic embeddings,Yang Q.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125725,https://api.elsevier.com/content/abstract/scopus_id/85209383239
A Green analytical method for simultaneous determination of dexamethasone sodium phosphate and prednisolone acetate in veterinary formulations using UV spectroscopy and dimension reduction algorithms,Ibrahim M.A.,Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy,2025-03-05,10.1016/j.saa.2024.125446,https://api.elsevier.com/content/abstract/scopus_id/85209367009
Knowledge-enhanced meta-transfer learning for few-shot ECG signal classification,Fan L.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125764,https://api.elsevier.com/content/abstract/scopus_id/85209366701
A pixel-level assessment method of the aging status of silicone rubber insulators based on hyperspectral imaging technology and IPCA-SVM model,Fan Y.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125788,https://api.elsevier.com/content/abstract/scopus_id/85209359786
How to optimize modern portfolio theory? A systematic review and research agenda,Zhao Y.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125780,https://api.elsevier.com/content/abstract/scopus_id/85209353083
A Q-learning-based multi-population algorithm for multi-objective distributed heterogeneous assembly no-idle flowshop scheduling with batch delivery,Zhang Z.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125690,https://api.elsevier.com/content/abstract/scopus_id/85209349175
Unbalanced graph isomorphism network for fracture identification by well logs,Ma N.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125794,https://api.elsevier.com/content/abstract/scopus_id/85209349143
PFEI-Net: A profound feature exploration and interaction network for ceramic substrate surface defect detection,He Y.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125741,https://api.elsevier.com/content/abstract/scopus_id/85209348685
Domain adaptation and knowledge distillation for lightweight pavement crack detection,Xiao T.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125734,https://api.elsevier.com/content/abstract/scopus_id/85209347371
Pulse transfer learning: Multi-area river ammonia nitrogen prediction with limited data,Song Z.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125730,https://api.elsevier.com/content/abstract/scopus_id/85209257733
Human vs. Machines: Who wins in semiconductor market forecasting?,Steinmeister L.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125719,https://api.elsevier.com/content/abstract/scopus_id/85209252994
Novel framework of significant risk factor identification and cardiovascular disease prediction,Bandyopadhyay S.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125678,https://api.elsevier.com/content/abstract/scopus_id/85209251542
A data-driven large-scale group decision-making framework for managing ratings and text reviews,García-Zamora D.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125726,https://api.elsevier.com/content/abstract/scopus_id/85209249322
A lightweight hierarchical aggregation task alignment network for industrial surface defect detection,Lv S.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125727,https://api.elsevier.com/content/abstract/scopus_id/85209235372
Trend-constrained pairing based incremental transfer learning for remaining useful life prediction of bearings in wind turbines,Li X.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125731,https://api.elsevier.com/content/abstract/scopus_id/85209232826
Optimal allocation of production quotas using an inverse DEA integrated with lean production capacity and negative data,Orisaremi K.K.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125745,https://api.elsevier.com/content/abstract/scopus_id/85209232584
A reinforcement learning-enhanced multi-objective iterated greedy algorithm for weeding-robot operation scheduling problems,Miao Z.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125760,https://api.elsevier.com/content/abstract/scopus_id/85209136342
A multi-input lightweight convolutional neural network for breast cancer detection considering infrared thermography,Tang Y.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125738,https://api.elsevier.com/content/abstract/scopus_id/85209135738
DAN: Neural network based on dual attention for anomaly detection in ICS,Xu L.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125766,https://api.elsevier.com/content/abstract/scopus_id/85209113945
Multi-scale structure-guided graph generation for multi-view semi-supervised classification,Wu Y.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125677,https://api.elsevier.com/content/abstract/scopus_id/85209112360
MSU-Net: Multi-Scale self-attention semantic segmentation method for oil-tea camellia planting area extraction in hilly areas of southern China,Xu Z.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125779,https://api.elsevier.com/content/abstract/scopus_id/85209110937
Study on runoff forecasting and error correction driven by atmosphere–ocean-land dataset,Chang X.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125744,https://api.elsevier.com/content/abstract/scopus_id/85209099350
A method based on hybrid cross-multiscale spectral-spatial transformer network for hyperspectral and multispectral image fusion,Chen Y.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125742,https://api.elsevier.com/content/abstract/scopus_id/85209089842
FNContra: Frequency-domain Negative Sample Mining in Contrastive Learning for limited-data image generation,Yang Q.,Expert Systems with Applications,2025-03-05,10.1016/j.eswa.2024.125676,https://api.elsevier.com/content/abstract/scopus_id/85209088214
